movieId,overview,director,actors
11,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",Rob Reiner,"['Michael Douglas', 'Annette Bening', 'Martin Sheen', 'Michael J. Fox', 'Anna Deavere Smith']"
12,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Professor Van Helsing, who may be the only one able to vanquish the Count.",Mel Brooks,"['Leslie Nielsen', 'Mel Brooks', 'Amy Yasbeck', 'Peter MacNicol', 'Lysette Anthony']"
13,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",Simon Wells,"['Kevin Bacon', 'Bob Hoskins', 'Bridget Fonda', 'Jim Cummings', 'Phil Collins']"
14,A look at President Richard M. Nixon—a man carrying the fate of the world on his shoulders while battling the self-destructive demands from within—spanning his troubled boyhood in California to the shocking Watergate scandal that would end his Presidency.,Oliver Stone,"['Anthony Hopkins', 'Joan Allen', 'Powers Boothe', 'Ed Harris', 'Bob Hoskins']"
15,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",Renny Harlin,"['Geena Davis', 'Matthew Modine', 'Frank Langella', 'Maury Chaykin', 'Patrick Malahide']"
16,"In early-1970s Las Vegas, Sam ""Ace"" Rothstein gets tapped by his bosses to head the Tangiers Casino. At first, he's a great success in the job, but over the years, problems with his loose-cannon enforcer Nicky Santoro, his ex-hustler wife Ginger, her con-artist ex Lester Diamond and a handful of corrupt politicians put Sam in ever-increasing danger.",Martin Scorsese,"['Robert De Niro', 'Sharon Stone', 'Joe Pesci', 'James Woods', 'Don Rickles']"
17,"The Dashwood sisters, sensible Elinor and passionate Marianne, whose chances at marriage seem doomed by their family's sudden loss of fortune.  When Henry Dashwood dies unexpectedly, his estate must pass on by law to his son from his first marriage, John and wife Fanny. But these circumstances leave Mr. Dashwood's current wife, and daughters Elinor, Marianne and Margaret, without a home and with barely enough money to live on. As Elinor and Marianne struggle to find romantic fulfillment in a society obsessed with financial and social status, they must learn to mix sense with sensibility in their dealings with both money and men.",Ang Lee,"['Emma Thompson', 'Kate Winslet', 'Alan Rickman', 'Hugh Grant', 'Gemma Jones']"
18,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,Allison Anders,"['Tim Roth', 'Jennifer Beals', 'Antonio Banderas', 'Valeria Golino', 'David Proval']"
19,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",Steve Oedekerk,"['Jim Carrey', 'Ian McNeice', 'Simon Callow', 'Maynard Eziashi', 'Bob Gunton']"
20,"When a vengeful New York transit cop decides to steal a trainload of subway fares, his foster brother—a fellow cop—tries to protect him.",Joseph Ruben,"['Wesley Snipes', 'Woody Harrelson', 'Jennifer Lopez', 'Robert Blake', 'Chris Cooper']"
21,"Chili Palmer is a Miami mobster who gets sent to L.A. to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",Barry Sonnenfeld,"['John Travolta', 'Gene Hackman', 'Rene Russo', 'Danny DeVito', 'Dennis Farina']"
22,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,Jon Amiel,"['Sigourney Weaver', 'Holly Hunter', 'Dermot Mulroney', 'William McNamara', 'Harry Connick Jr.']"
23,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.",Richard Donner,"['Sylvester Stallone', 'Antonio Banderas', 'Julianne Moore', 'Anatoli Davydov', 'Muse Watson']"
24,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.",Victor Salva,"['Mary Steenburgen', 'Sean Patrick Flanery', 'Lance Henriksen', 'Jeff Goldblum', 'Brandon Smith']"
25,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",Mike Figgis,"['Nicolas Cage', 'Elisabeth Shue', 'Julian Sands', 'Richard Lewis', 'Steven Weber']"
26,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,Oliver Parker,"['Laurence Fishburne', 'Irène Jacob', 'Kenneth Branagh', 'Nathaniel Parker', 'Michael Maloney']"
27,"Waxing nostalgic about the bittersweet passage from childhood to puberty, four childhood girlfriends — Teeny, Chrissy, Samantha and Roberta — recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",Lesli Linka Glatter,"['Christina Ricci', ""Rosie O'Donnell"", 'Thora Birch', 'Melanie Griffith', 'Gaby Hoffmann']"
28,"Anne Elliot, the daughter of a financially troubled aristocratic family, is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful, and perhaps still in love with Anne.",Roger Michell,"['Amanda Root', 'Ciarán Hinds', 'Susan Fleetwood', 'Fiona Shaw', 'John Woodvine']"
29,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",Marc Caro,"['Ron Perlman', 'Dominique Pinon', 'Judith Vittet', 'Daniel Emilfork', 'Jean-Claude Dreyfus']"
30,,,
31,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",John N. Smith,"['Michelle Pfeiffer', 'George Dzundza', 'Courtney B. Vance', 'Robin Bartlett', 'Beatrice Winde']"
32,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly and the son of a famous virus expert who may hold the key to the Army of the 12 Monkeys; thought to be responsible for unleashing the killer disease.",Terry Gilliam,"['Bruce Willis', 'Madeleine Stowe', 'Brad Pitt', 'Christopher Plummer', 'David Morse']"
33,"In 1930 South America, a small group of French pilots struggle to prove they can offer a reliable airmail service over the Andes. When one of the young pilots crashes on such a flight, he has to try and get back to civilization on foot. Back home, his wife and colleagues start to fear the worst.",Jean-Jacques Annaud,"['Craig Sheffer', 'Elizabeth McGovern', 'Tom Hulce', 'Ken Pogue', 'Ron Sauvé']"
34,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mum, Babe realises that he has the makings to become the greatest sheep pig of all time, and Farmer Hoggett knows it. With the help of the sheep dogs, Babe learns that a pig can be anything that he wants to be.",Chris Noonan,"['Christine Cavanaugh', 'Miriam Margolyes', 'Danny Mann', 'Hugo Weaving', 'Miriam Flynn']"
35,"Painter Dora Carrington develops an intimate but extremely complex bond with writer Lytton Strachey. Though Lytton is a homosexual, he is enchanted by the mysterious Dora and they begin a lifelong friendship that has strangely romantic undertones. Eventually, Lytton and Dora decide to live together, despite the fact that the latter has fallen in love with military man Ralph Partridge, whom she plans to marry.",Christopher Hampton,"['Emma Thompson', 'Jonathan Pryce', 'Steven Waddington', 'Samuel West', 'Rufus Sewell']"
36,A death row inmate turns for spiritual guidance to a local nun in the days leading up to his scheduled execution for the murders of a young couple.,Tim Robbins,"['Susan Sarandon', 'Sean Penn', 'Robert Prosky', 'Raymond J. Barry', 'R. Lee Ermey']"
37,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times. Thomas is searching for the family of one of his ancestors, who had emigrated decades ago, but once sent a letter home together with a sample of his new profession: 3D-Photography.",Stephen Low,"['Peter Reznick', 'John McDonough', 'Avi Hoffman', 'Matt Malloy', 'Abby Lewis']"
38,"Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda.",Andy Tennant,"['Kirstie Alley', 'Steve Guttenberg', 'Ashley Olsen', 'Mary-Kate Olsen', 'Jane Sibbett']"
39,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",Amy Heckerling,"['Alicia Silverstone', 'Stacey Dash', 'Brittany Murphy', 'Paul Rudd', 'Donald Faison']"
40,A South-African preacher goes to search for his wayward son who has committed a crime in the big city.,Darrell James Roodt,"['Richard Harris', 'James Earl Jones', 'Charles S. Dutton', 'Vusi Kunene', 'Tsholofelo Wechoemang']"
41,"A murderous lust for the British throne sees Richard III descend into madness. Though the setting is transposed to the 1930s, England is torn by civil war, split between the rivaling houses of York and Lancaster. Richard aspires to a fascist dictatorship, but must first remove the obstacles to his ascension—among them his brother, his nephews and his brother's wife. When the Duke of Buckingham deserts him, Richard's plans are compromised.",Richard Loncraine,"['Ian McKellen', 'Annette Bening', 'Jim Broadbent', 'Robert Downey Jr.', 'Kristin Scott Thomas']"
42,On the streets they call cash dead presidents. And that's just what a Vietnam veteran is after when he returns home from the war only to find himself drawn into a life of crime. With the aid of his fellow vets he plans the ultimate heist -- a daring robbery of an armored car filled with unmarked U.S. currency!,Albert Hughes,"['Larenz Tate', 'Keith David', 'Chris Tucker', 'Freddy Rodríguez', 'Rose Jackson']"
43,"An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician.",Michael Hoffman,"['Robert Downey Jr.', 'Meg Ryan', 'Sam Neill', 'David Thewlis', 'Hugh Grant']"
44,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.",Paul W. S. Anderson,"['Robin Shou', 'Linden Ashby', 'Bridgette Wilson-Sampras', 'Christopher Lambert', 'Cary-Hiroyuki Tagawa']"
45,"Suzanne Stone wants to be a world-famous news anchor and she is willing to do anything to get what she wants. What she lacks in intelligence, she makes up for in cold determination and diabolical wiles. As she pursues her goal with relentless focus, she is forced to destroy anything and anyone that may stand in her way, regardless of the ultimate cost or means necessary.",Gus Van Sant,"['Nicole Kidman', 'Matt Dillon', 'Joaquin Phoenix', 'Casey Affleck', 'Illeana Douglas']"
46,"Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.",Jocelyn Moorhouse,"['Winona Ryder', 'Anne Bancroft', 'Ellen Burstyn', 'Kate Nelligan', 'Jean Simmons']"
47,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Somerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",David Fincher,"['Morgan Freeman', 'Brad Pitt', 'Gwyneth Paltrow', 'John Cassini', 'Peter Crombie']"
48,"Pocahontas, daughter of a Native American tribe chief, falls in love with an English soldier as colonists invade 17th century Virginia.",Mike Gabriel,"['Irene Bedard', 'Mel Gibson', 'David Ogden Stiers', 'John Kassir', 'Christian Bale']"
49,"Camille is a professor at a Protestant college and is in a long-term relationship Martin, a respected minister and fellow professor. When Camille meets Petra, a bold and flamboyant performer in a circus troupe, she is inexplicably drawn. Pursuing Petra, Camille throws her whole conservative life into disarray.",Patricia Rozema,"['Pascale Bussières', 'Rachael Crawford', 'Henry Czerny', 'David Fox', 'Don McKellar']"
50,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",Bryan Singer,"['Stephen Baldwin', 'Gabriel Byrne', 'Benicio del Toro', 'Kevin Pollak', 'Kevin Spacey']"
51,"Detective - turned - bodyguard Cynthia McKay (Cynthia Rothrock) is hired by a psychotic icy seductress, Nina Lindell (Lydie Denier), the same woman who killed Mckay's lover months earlier.  With vendetta in her heart McKay accompanies the flamboyantly playful womanizer through the glamourous world of the super-rich as his protector.  In a unique role reversal, it is the woman protecting the man from another woman, erupting into a deadly triangle of passion, suspense and action.",Richard W. Munchkin,"['Cynthia Rothrock', 'Marshall R. Teague', 'Daniel McVicar', 'Lydie Denier', ""John O'Leary""]"
52,"When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.",Woody Allen,"['Woody Allen', 'Mira Sorvino', 'Helena Bonham Carter', 'F. Murray Abraham', 'Donald Symington']"
53,"Fiore, an Italian conman, arrives in post Communist Albania with Gino, his young apprentice, to set up a shoe factory that will never open. The con requires a native Albanian, so they designate Spiro, an impoverished and confused former political prisoner as chairman of the board. When Fiore returns to Italy to get government funds for the project, Spiro unexpectedly disappears and Gino sets out on a journey to find him. The search leads him to discover Spiro's tragic personal history and witness Albanian poverty firsthand.",Gianni Amelio,"['Enrico Lo Verso', 'Michele Placido', 'Piro Milkani', 'Carmelo Di Mazzarelli', 'Elida Janushi']"
54,"In a depressed Texas town, British foreign exchange teacher Anna attempts to inject some life into her hopeless kids by introducing them to soccer. They're terrible at first, but Anna and her football-hero assistant whip them into shape. As they work overtime, the pair help kids build their self-esteem and also get involved in solving family squabbles.",Holly Goldberg Sloan,"[""Olivia d'Abo"", 'Steve Guttenberg', 'Chauncey Leopardi', 'Patrick Renna', 'Billy L. Sullivan']"
55,"Sadie looks up to her older sister Georgia, a successful folk singer. Unfortunately it is this very obsession — coupled with her self-destructive tendencies and rampant drug abuse — that keeps her spiraling down the drain.",Ulu Grosbard,"['Jennifer Jason Leigh', 'Mare Winningham', 'Ted Levine', 'Max Perlich', 'John Doe']"
56,"Set in modern times, Alex finds King Arthur's sword Excalibur and must prove himself worthy of it.",Robert Tinnell,"['Johnny Morina', 'Malcolm McDowell', 'Maggie Castle', 'James Rae', 'Michael Ironside']"
57,"After losing her job, making out with her soon-to-be former boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her unhinged family.",Jodie Foster,"['Holly Hunter', 'Robert Downey Jr.', 'Anne Bancroft', 'Charles Durning', 'Dylan McDermott']"
58,Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.,Michael Radford,"['Massimo Troisi', 'Philippe Noiret', 'Maria Grazia Cucinotta', 'Renato Scarpa', 'Linda Moretti']"
59,"Pierre Lamontagne has returned to Quebec to attend his father's funeral. He meets up with his adopted brother, Marc, who has begun questioning his identity and has embarked on a quest for his roots that would lead them to the Quebec of the 1950s. Past and present converge in a complex web of intrigue where the answer to the mystery lies.",Robert Lepage,"['Lothaire Bluteau', 'Patrick Goyette', 'Jean-Louis Millette', 'Kristin Scott Thomas', 'Ron Burrage']"
60,A nine-year-old boy gets a plastic Indian and a cupboard for his birthday and finds himself involved in adventure when the Indian comes to life and befriends him.,Frank Oz,"['Hal Scardino', 'Litefoot', 'Lindsay Crouse', 'Richard Jenkins', 'Rishi Bhat']"
61,"It's fire and brimstone time as grieving mother Karen McCann takes justice into her own hands when a kangaroo court in Los Angeles fails to convict Robert Doob, the monster who raped and murdered her 17-year-old daughter.",John Schlesinger,"['Sally Field', 'Kiefer Sutherland', 'Ed Harris', ""Beverly D'Angelo"", 'Charlayne Woodard']"
62,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.",Stephen Herek,"['Richard Dreyfuss', 'Glenne Headly', 'Jay Thomas', 'Olympia Dukakis', 'William H. Macy']"
63,"When Ashtray moves to South Central L.A. to live with his father (who appears to be the same age he is) and grandmother (who likes to talk tough and smoke reefer), he falls in with his gang-banging cousin Loc Dog, who along with the requisite pistols and Uzi carries a thermo-nuclear warhead for self-defense. Will Ashtray be able to keep living the straight life?",Paris Barclay,"['Shawn Wayans', 'Marlon Wayans', 'Tracey Cherelle Jones', 'Chris Spencer', 'Vivica A. Fox']"
64,"Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that last job, which involves stealing a valuable painting. Frank takes Roz to an island on the coast of New England, where he wants to sell the painting and also hopes that their sagging relationship will get a positive push back up. Not everything goes as planned.",Bill Bennett,"['Sandra Bullock', 'Denis Leary', 'Yaphet Kotto', 'Stephen Dillane', 'Tracey Cherelle Jones']"
65,"Bud and Doyle are a pair of aimless slackers with no real direction in life. While their environmentally-conscious girlfriends are passionate about saving the planet, the two couldn't care less. One day, they accidentally stumble into a high-stakes scientific experiment—a year-long mission in a sealed ""Bio-Dome"" with no contact with the outside world—and unwittingly become part of the project.",Jason Bloom,"['Pauly Shore', 'Stephen Baldwin', 'William Atherton', 'Joey Lauren Adams', 'Teresa Hill']"
66,"Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and use. But what Walker doesn't realize is a group of teenage hackers are on to him and out to stop his plan.",Farhad Mann,"['Patrick Bergin', 'Matt Frewer', ""Austin O'Brien"", 'Ely Pouget', 'Camille Cooper']"
67,"It's a hot summer day in 1933 in South Philly, where 12-year old Gennaro lives with his widowed mom and his ailing grandpa, who sits outside holding tight to his last quarter, which he's promised to Gennaro and which Gennaro would like to have to buy a ticket to the plush new movie theater. But grandpa's not ready to pass on the quarter or pass on to his final reward: he has some unfinished business with a woman from his past, and he enlists Gennaro to act as his emissary.",James Foley,"['Jerry Barone', 'Al Pacino', 'Mary Elizabeth Mastrantonio', 'Joe Grifasi', 'Geoff Pierson']"
68,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",Josiane Balasko,"['Victoria Abril', 'Josiane Balasko', 'Alain Chabat', 'Ticky Holgado', 'Catherine Hiegel']"
69,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do.",F. Gary Gray,"['Ice Cube', 'Chris Tucker', 'Nia Long', 'Tommy Lister Jr.', 'John Witherspoon']"
70,"After kidnapping a father and his two kids, the Gecko brothers head south to a seedy Mexican bar to hide out in safety, unaware of its notorious vampire clientele.",Robert Rodriguez,"['George Clooney', 'Quentin Tarantino', 'Harvey Keitel', 'Juliette Lewis', 'Ernest Liu']"
71,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her",Andrew Sipes,"['William Baldwin', 'Cindy Crawford', 'Steven Berkoff', 'Christopher McDonald', 'Miguel Sandoval']"
72,"After college graduation, Grover's girlfriend Jane tells him she's moving to Prague to study writing. Grover declines to accompany her, deciding instead to move in with several friends, all of whom can't quite work up the inertia to escape their university's pull. Nobody wants to make any big decisions that would radically alter his life, yet none of them wants to end up like Chet, the professional student who tends bar and is in his tenth year of university studies.",Noah Baumbach,"['Josh Hamilton', ""Olivia d'Abo"", 'Chris Eigeman', 'Parker Posey', 'Jason Wiles']"
73,"In France during World War II, a poor and illiterate man, Henri Fortin, is introduced to Victor Hugo's classic novel Les Misérables and begins to see parallels between the book and his own life.",Claude Lelouch,"['Jean-Paul Belmondo', 'Michel Boujenah', 'Alessandra Martines', 'Salomé Lelouch', 'Annie Girardot']"
74,"The seeds of love are planted when Lisa, a high-powered investment banker, receives flowers from a secret admirer. But when his fairy-tale fantasies clash with her workaholic ways, they soon find out that sometimes, it's harder than it seems for love to conquer all.",Michael Goldenberg,"['Christian Slater', 'Mary Stuart Masterson', 'Pamela Adlon', 'Josh Brolin', 'Brian Tarantina']"
75,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.",Steve Miner,"['Rick Moranis', 'Tom Arnold', 'Julianne Phillips', 'Carol Kane', 'Jeffrey Tambor']"
76,"SIRIUS 6B, Year 2078. On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as Screamers designed for one purpose only -- to hunt down and destroy all enemy life forms.",Christian Duguay,"['Peter Weller', 'Jennifer Rubin', 'Roy Dupuis', 'Andrew Lauer', 'Liliana Głąbczyńska']"
77,"A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item, junkie and hag. Many faces for the same woman, whom, you realize, just couldn't bring herself to care enough to live.",Susanne Ofteringer,"['Nico', 'Tina Aumont', 'Christian Aaron Boulogne', 'Jackson Browne', 'John Cale']"
78,"Unable to move on from the loss of his daughter, Freddy, now a shell of the person he was before, swears to kill the man responsible for her death.",Sean Penn,"['Jack Nicholson', 'David Morse', 'Anjelica Huston', 'Robin Wright', 'Piper Laurie']"
79,"With his gangster boss on trial for murder, a mob thug known as ""the Teacher"" tells Annie Laird she must talk her fellow jurors into a not-guilty verdict, implying that he'll kill her son Oliver if she fails. She manages to do this, but, when it becomes clear that the mobsters might want to silence her for good, she sends Oliver abroad and tries to gather evidence of the plot against her, setting up a final showdown.",Brian Gibson,"['Demi Moore', 'Alec Baldwin', 'Joseph Gordon-Levitt', 'Anne Heche', 'James Gandolfini']"
80,Several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with.,Jafar Panahi,"['Aida Mohammadkhani', 'Mohsen Kafili', 'Fereshteh Sadr Orafaee', 'Anna Borkowska', 'Mohammad Shahani']"
81,Five different criminals face imminent death after botching a job quite badly.,Gary Fleder,"['Andy García', 'Christopher Lloyd', 'William Forsythe', 'Bill Nunn', 'Treat Williams']"
82,"After World War II, Antonia and her daughter, Danielle, go back to their Dutch hometown, where Antonia's late mother has bestowed a small farm upon her. There, Antonia settles down and joins a tightly-knit but unusual community. Those around her include quirky friend Crooked Finger, would-be suitor Bas and, eventually for Antonia, a granddaughter and great-granddaughter who help create a strong family of empowered women.",Marleen Gorris,"['Willeke van Ammelrooy', 'Els Dottermans', 'Dora van der Groen', 'Veerle van Overloop', 'Carolien Spoor']"
